title,number of ratings
Machete,6
Machete Kills,1
Mackenna's Gold,3
Mad About Mambo,1
Mad City,8
Mad Dog and Glory,1
Mad Hot Ballroom,6
Mad Love,6
Mad Max,35
Mad Max 2: The Road Warrior,29
Mad Max Beyond Thunderdome,19
Mad Max: Fury Road,31
Madagascar,28
Madagascar 3: Europe's Most Wanted,2
Madagascar: Escape 2 Africa,8
Madame Butterfly,4
Madame Sousatzka,2
Made,5
Made for Each Other,1
Made in America,12
Made in Dagenham,1
Made of Honor,4
Madea Goes to Jail,1
Madeline,2
Madonna: Truth or Dare,10
Maelström,1
Maggie,1
Maggie Simpson in The Longest Daycare,1
Magic,1
Magic Mike,3
Magic Mike XXL,1
Magic Trip,1
Magic in the Moonlight,1
Magical Mystery Tour,1
Magicians,1
Magnificent Obsession,1
Magnolia,57
Magnum Force,7
Mahler,1
Maid in Manhattan,15
Maid to Order,5
Major League,23
Major League II,2
Major League: Back to the Minors,7
Major Payne,13
Make Mine Music,1
Make the Yuletide Gay,1
Making Love,1
Making Mr. Right,1
Mala Noche,1
Malcolm X,29
Maleficent,6
Malena,4
Malibu's Most Wanted,1
Malice,14
Mallrats,44
Mama,1
Mambo Italiano,1
Mamma Mia!,6
Man Bites Dog,8
Man Facing Southeast,3
Man of Steel,11
Man of Tai Chi,1
Man of the House,3
Man of the Year,2
Man on Fire,23
Man on Wire,3
Man on a Ledge,2
Man on the Moon,35
Man on the Train,2
Man with a Movie Camera,3
Man's Favorite Sport?,1
Mandela: Long Walk to Freedom,1
Manderlay,2
Manhattan,54
Manhattan Murder Mystery,21
Manhunter,10
Maniac,3
Maniac Cop,1
Manic,1
Mannequin,12
Manon of the Spring,16
Manos: The Hands of Fate,1
Mansfield Park,7
Manson Family Vacation,1
Manufacturing Consent: Noam Chomsky and the Media,5
Maps to the Stars,1
Marathon Man,17
Marc Maron: Thinky Pain,1
Marcello Mastroianni: I Remember,1
March of the Penguins,9
Marco Polo: One Hundred Eyes,1
Margaret,3
Margaret Cho: I'm the One That I Want,1
Margaret's Museum,1
Margin Call,6
Margot at the Wedding,1
Maria Full of Grace,17
Marie Antoinette,4
Marjorie Morningstar,1
Mark of the Devil,1
Marked for Death,2
Marley,1
Marley & Me,5
Marnie,5
Married to the Mob,16
Mars Attacks!,80
Mars Needs Moms,1
Martha Marcy May Marlene,5
Martian Child,1
Martin,1
Marty,12
Martyrs,2
Marvin's Room,10
Marwencol,1
Mary Poppins,78
Mary Reilly,12
Mary Shelley's Frankenstein,27
Mary and Max,10
Masculin Féminin,1
Mask,4
Masquerade,1
Mass Appeal,2
Master and Commander: The Far Side of the World,34
Master of the Flying Guillotine,3
Masters of the Universe,3
Matador,1
Matango: Attack of the Mushroom People,1
Match Point,16
Matchstick Men,22
Matewan,6
Matilda,18
Matti: Hell Is for Heroes,1
Maurice,3
Maverick,71
Max,1
Max Dugan Returns,2
Max Keeble's Big Move,1
Max Payne,6
Maximum Conviction,1
Maximum Overdrive,6
Maximum Risk,1
May,2
Maya Lin: A Strong Clear Vision,2
Maybe Baby,1
Maze Runner: The Scorch Trials,3
McCabe & Mrs. Miller,7
"McFarland, USA",1
McHale's Navy,3
Me Before You,1
Me Myself I,5
Me and Earl and the Dying Girl,3
Me and You and Everyone We Know,5
"Me, Myself & Irene",43
Mean Creek,4
Mean Girls,28
Mean Machine,2
Mean Streets,7
Meatballs,6
Meatballs 4,1
Meatballs III: Summer Job,3
Meatballs Part II,1
Medicine Man,10
Mediterraneo,4
Medium Cool,1
Meet Dave,1
Meet Joe Black,23
Meet John Doe,7
Meet Me in St. Louis,14
Meet the Deedles,1
Meet the Feebles,4
Meet the Fockers,25
Meet the Parents,88
Meet the Robinsons,8
Meet the Spartans,3
Megamind,11
Mei and the Kittenbus,1
Melancholia,6
Melinda and Melinda,1
Melvin Goes to Dinner,1
Melvin and Howard,8
Memento,132
Memoirs of a Geisha,11
Memories,2
Memories of Murder,2
Memphis Belle,14
Men Don't Leave,5
Men at Work,3
Men in Black,190
Men in Black 3,13
Men in Black II,49
Men of Honor,14
Men of War,1
Men with Brooms,2
Men with Guns,4
"Men, Women & Children",1
Menace II Society,23
Menolippu Mombasaan,1
Mental,1
Mephisto,3
Merci pour le Chocolat,1
Mercury Rising,11
Mermaids,6
Merry Madagascar,1
Message in a Bottle,10
Message to Love: The Isle of Wight Festival,1
Metal: A Headbanger's Journey,1
Metallica: Some Kind of Monster,2
Meteor,1
Metro,5
Metroland,3
Metropolis,29
Metropolitan,12
Mi Vida Loca,3
Miami Blues,2
Miami Connection,1
Miami Rhapsody,5
Miami Vice,5
Michael,33
Michael Clayton,12
Michael Collins,12
Michael Jackson's Thriller,1
Michael Jordan to the Max,2
Mickey Blue Eyes,23
Micmacs,2
Microcosmos,8
Midaq Alley,1
Middle Men,2
Midnight Cowboy,39
Midnight Express,13
Midnight Run,29
Midnight Special,1
Midnight in Paris,21
Midnight in the Garden of Good and Evil,20
Mifune,2
Mighty Aphrodite,51
Mighty Joe Young,13
Mighty Morphin Power Rangers: The Movie,15
Mike and Dave Need Wedding Dates,1
Mike's Murder,1
Mike's New Car,1
Mildred Pierce,10
Miles Ahead,1
Milk,11
Milk Money,22
Millennium,2
Millennium Actress,3
Miller's Crossing,27
Million Dollar Arm,2
Million Dollar Baby,65
Millions,5
Mimic,10
Mina Tannenbaum,2
Mind Game,1
Mindhunters,5
Mindwalk,1
Minions,5
Ministry of Fear,1
Minority Report,115
Miracle,11
Miracle Mile,1
Miracle on 34th Street,57
Mirage,1
Mirror,2
Mirror Mirror,3
Mirrormask,3
Misery,45
Miss Congeniality,53
Miss Congeniality 2: Armed and Fabulous,6
Miss Firecracker,3
Miss Julie,1
Miss Meadows,1
Miss Potter,1
Miss Violence,1
Missing,6
Missing in Action,3
Mission to Mars,30
Mission to Mir,1
Mission: Impossible,168
Mission: Impossible - Ghost Protocol,9
Mission: Impossible - Rogue Nation,7
Mission: Impossible II,81
Mission: Impossible III,21
Mississippi Burning,11
Mississippi Masala,4
Mistaken for Strangers,1
Mister Lonely,1
Mister Roberts,17
Mitchell,1
Mixed Nuts,5
Mo' Better Blues,1
Modern Problems,1
Modern Times,32
Mogambo,2
Mohenjo Daro,1
Moll Flanders,8
Mommie Dearest,10
Moms Mabley: I Got Somethin' to Tell You,1
Mon Oncle d'Amérique,2
Mon oncle,1
Mon oncle Antoine,1
Mona Lisa,11
Mona Lisa Smile,8
Mondays in the Sun,1
Mondo Hollywood,1
Money Monster,1
Money Talks,2
Money Train,13
Moneyball,16
Mongol: The Rise of Genghis Khan,3
Monkey Business,3
Monkey Shines,3
Monkeybone,2
Monsieur  Hulot's Holiday,3
Monsieur Hire,1
Monsieur Ibrahim,1
Monsieur Verdoux,3
Monsignor,1
Monsoon Wedding,16
Monster,16
Monster House,4
Monster in a Box,1
Monster's Ball,27
Monster-in-Law,2
Monsters,1
Monsters University,7
Monsters vs Aliens,5
"Monsters, Inc.",130
Monterey Pop,5
Monty Python Live at the Hollywood Bowl,10
Monty Python and the Holy Grail,145
Mood Indigo,2
Moon,28
Moon Over Parador,1
Moonlight Mile,3
Moonlighting,1
Moonraker,23
Moonrise Kingdom,26
Moonstruck,37
More,2
Morgan: A Suitable Case for Treatment,1
Morning Glory,5
Morons from Outer Space,2
Mortal Kombat,38
Mortal Kombat: Annihilation,9
Mortal Thoughts,4
Moscow on the Hudson,3
Mostly Martha,3
Motel Hell,1
Mother,11
Mother Night,3
Mother's Day,1
Mothra,1
Mothra vs. Godzilla,1
Motorama,1
Moulin Rouge!,55
MouseHunt,16
Movie 43,2
Mozart and the Whale,1
Mr & Mrs Bridge,2
Mr. & Mrs. Smith,51
Mr. 3000,1
Mr. Bean's Holiday,2
Mr. Blandings Builds His Dream House,2
Mr. Brooks,5
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",8
Mr. Deeds,19
Mr. Deeds Goes to Town,3
Mr. Destiny,1
Mr. Holland's Opus,87
Mr. Jones,3
Mr. Magoo,1
Mr. Magorium's Wonder Emporium,2
Mr. Mom,18
Mr. Nice Guy,6
Mr. Nobody,3
Mr. Peabody & Sherman,1
Mr. Popper's Penguins,1
Mr. Saturday Night,5
Mr. Skeffington,1
Mr. Smith Goes to Washington,31
Mr. Warmth: The Don Rickles Project,1
Mr. Wonderful,1
Mr. Wrong,11
Mrs Brown,10
Mrs Palfrey at The Claremont,1
Mrs. Dalloway,5
Mrs. Doubtfire,153
Mrs. Miniver,4
Mrs. Parker and the Vicious Circle,9
Mrs. Soffel,3
Mrs. Winterbourne,7
Much Ado About Nothing,60
Muck,1
Mud,5
Mulan,42
Mulan II,1
Mulholland Drive,39
Mulholland Falls,27
Multiplicity,34
Mumford,8
Munchies,2
Munich,24
Muppet Treasure Island,27
Muppets Most Wanted,1
Muppets from Space,7
Murder Party,1
Murder at 1600,15
Murder by Death,5
Murder by Numbers,8
Murder in the First,22
Murder on a Sunday Morning,2
Murder on the Orient Express,5
Murder!,1
"Murder, My Sweet",3
Murderball,5
Muriel's Wedding,56
Murmur of the Heart,2
Murphy's Romance,8
Murphy's War,1
Muscle Shoals,3
Music Box,2
Music and Lyrics,8
Music from Another Room,2
Music of the Heart,2
Must Love Dogs,1
Mutant Chronicles,1
Mutant Pumpkins from Outer Space,2
Mute Witness,1
Mutiny on the Bounty,11
My Architect,3
My Beautiful Laundrette,3
My Best Fiend,2
My Best Friend,1
My Best Friend's Wedding,52
My Big Fat Greek Wedding,51
My Bloody Valentine,1
My Blue Heaven,13
My Bodyguard,13
My Boyfriend's Back,2
My Chauffeur,1
My Cousin Vinny,76
My Darling Clementine,3
My Dinner with André,3
My Dog Skip,9
My Fair Lady,51
My Family,4
My Father's Glory,1
My Favorite Brunette,1
My Favorite Martian,3
My Favorite Season,3
My Favorite Wife,2
My Favorite Year,20
My Fellow Americans,6
My First Mister,1
My Friend Rockefeller,1
My Giant,4
My Girl,5
My Girl 2,1
My Kid Could Paint That,1
My Left Foot: The Story of Christy Brown,28
My Life,2
My Life Without Me,2
My Life and Times With Antonin Artaud,1
My Life as a Dog,19
My Life in Pink,13
My Little Chickadee,2
My Man Godfrey,16
My Mother's Castle,2
My Name Is Bruce,1
My Name Is Joe,2
My Name Is Khan,1
My Name Is Nobody,2
My Neighbor Totoro,26
My Night at Maud's,1
My Own Private Idaho,12
My Sassy Girl,2
My Science Project,3
My Side of the Mountain,1
My Sister's Keeper,4
My Son the Fanatic,3
"My Son, My Son, What Have Ye Done",1
My Stepmother is an Alien,5
My Summer of Love,2
My Super Ex-Girlfriend,6
My Tutor,1
My Week with Marilyn,1
My Wife Is an Actress,1
My Winnipeg,2
Mysterious Island,1
Mysterious Skin,7
Mystery Date,1
Mystery Men,36
Mystery Science Theater 3000: The Movie,33
Mystery Team,1
Mystery Train,11
"Mystery, Alaska",7
Mystic Pizza,7
Mystic River,46
Nacho Libre,7
Nadine,5
Nadja,2
Naked,15
Naked Lunch,6
"Nana, the True Key of Pleasure",2
Nancy Drew,1
Nanny McPhee,2
Nanook of the North,2
Naomi and Ely's No Kiss List,1
Napoleon,1
Napoleon Dynamite,45
Naqoyqatsi,1
Narc,8
Narcopolis,1
Nashville,21
Nasty Baby,1
National Lampoon Presents Dorm Daze,1
National Lampoon's Christmas Vacation,25
National Lampoon's Gold Diggers,1
National Lampoon's Last Resort,1
National Lampoon's Loaded Weapon 1,6
National Lampoon's Vacation,30
National Lampoon’s European Vacation,16
National Lampoon’s Van Wilder,11
National Security,1
National Treasure,35
National Treasure: Book of Secrets,7
National Velvet,1
Natural Born Killers,107
Nature Calls,1
Nausicaä of the Valley of the Wind,20
Nazarin,1
Near Dark,5
Nebraska,4
Necessary Roughness,3
Ned Kelly,1
Need for Speed,3
Needful Things,9
Neighboring Sounds,1
Neighbors,5
Neighbors 2: Sorority Rising,2
Neil Young: Heart of Gold,1
Nekromantik,2
Nell,44
Neon Genesis Evangelion: Death and Rebirth,1
Network,38
Nevada Smith,1
Never Back Down,2
Never Been Kissed,35
Never Cry Wolf,6
Never Give a Sucker an Even Break,2
Never Let Me Go,3
Never Say Never Again,7
New Jack City,2
New Jersey Drive,1
New Nightmare,11
New Police Story,1
New Rose Hotel,3
New Year's Eve,2
New York Minute,1
New York Stories,4
"New York, I Love You",1
"New York, New York",2
New in Town,1
Newsies,8
Next,5
Next Day Air,1
Next Friday,6
Next Stop Wonderland,4
Next of Kin,2
Niagara,2
Nice Dreams,1
Nicholas Nickleby,1
Nick and Norah's Infinite Playlist,7
Nick of Time,17
Nico Icon,2
Night Falls on Manhattan,4
Night Moves,1
Night Shift,9
Night Watch,1
Night and Fog,2
Night and the City,2
Night at the Museum,18
Night at the Museum: Battle of the Smithsonian,5
Night at the Museum: Secret of the Tomb,2
Night of the Comet,5
Night of the Creeps,3
Night of the Demons,1
Night of the Living Dead,31
Night on Earth,12
Nightbreed,1
Nightcrawler,13
Nighthawks,2
Nightmare Alley,1
Nightmares,1
Nights of Cabiria,7
Nightwatch,2
Nightwatching,1
Nil by Mouth,2
Nim's Island,2
Nina Takes a Lover,5
Nine 1/2 Weeks,10
Nine Months,48
Nine Queens,5
Nine to Five,9
Nineteen Eighty-Four,13
Ninja,1
Ninja Assassin,5
Ninja Scroll,11
Ninotchka,13
Nixon,31
Nixon by Nixon: In His Own Words,1
No Country for Old Men,49
No Direction Home: Bob Dylan,3
No End in Sight,1
No Escape,5
No Holds Barred,2
No Man's Land,10
No Mercy,3
No No: A Dockumentary,1
No Nukes,1
No One Lives,1
No Regret,1
No Reservations,3
No Small Affair,2
No Strings Attached,8
No Way Out,12
Noah,6
Nobody Knows,3
Nobody's Fool,18
Nomads,1
Non-Stop,6
Norbit,2
Norma Rae,7
Normal Life,1
North,7
North Country,1
North Dallas Forty,4
North Face,1
North Shore,1
North by Northwest,87
Northanger Abbey,1
Northfork,1
Nosferatu,21
Nosferatu the Vampyre,6
Nostalgia,1
Not Another Teen Movie,13
Not One Less,2
Not Quite Hollywood,1
Not Suitable For Children,1
Not Without My Daughter,3
Notes on a Scandal,2
Nothing Sacred,1
Nothing but Trouble,3
Nothing in Common,6
Nothing to Lose,3
Notorious,21
Notting Hill,64
Novocaine,4
"Now You See Him, Now You Don't",1
Now You See Me,10
Now You See Me 2,2
Now and Then,7
"Now, Voyager",2
Nowhere,3
Nowhere Boy,1
Nowhere in Africa,5
Nowhere to Hide,1
Number Seventeen,1
Nuns on the Run,3
Nuremberg,1
Nurse Betty,21
Nuts,3
Nutty Professor II: The Klumps,14
Nymphomaniac: Vol. II,4
O,3
"O Brother, Where Art Thou?",96
O Lucky Man!,1
Oblivion,15
Observe and Report,2
Obvious Child,1
Ocean's Eleven,135
Ocean's Thirteen,25
Ocean's Twelve,34
Oceans,1
October Baby,1
October Sky,35
Octopussy,5
Oculus,3
Odd Man Out,1
Odds Against Tomorrow,1
Of Mice and Men,21
Off Beat,1
Off Limits,1
Off the Map,1
Office Killer,1
Office Space,106
Offside,2
"Oh, God!",4
Oklahoma!,6
Old Dogs,1
Old Joy,1
Old School,32
Old Yeller,19
Oldboy,33
Olive Kitteridge,1
Oliver & Company,12
Oliver Twist,3
Oliver!,14
Olympus Has Fallen,5
Omen III: The Final Conflict,6
Omen IV: The Awakening,1
On Any Sunday,1
On Dangerous Ground,1
On Golden Pond,28
On Her Majesty's Secret Service,12
On Moonlight Bay,1
On Probation,1
On the Beach,6
On the Edge,1
On the Line,1
On the Ropes,2
On the Town,9
On the Waterfront,29
Once,11
Once Bitten,2
Once My Mother,1
Once Upon a Crime,1
Once Upon a Forest,1
Once Upon a Time in America,22
Once Upon a Time in China,4
Once Upon a Time in China II,2
Once Upon a Time in China III,1
Once Upon a Time in Mexico,10
Once Upon a Time in the West,16
Once Upon a Time... When We Were Colored,3
Once Were Warriors,16
Once a Thief,1
One Crazy Summer,4
One Day,2
One Day in September,5
One Eight Seven,2
One False Move,7
One Fine Day,19
One Flew Over the Cuckoo's Nest,144
One Good Cop,2
One Hour Photo,19
One Hundred and One Dalmatians,41
One Magic Christmas,1
One Man Band,1
One Missed Call,1
One Night Stand,3
One Night at McCool's,3
One Piece Film Strong World,1
One Piece Film Z,1
One Tough Cop,1
One True Thing,5
One for the Money,2
One from the Heart,1
"One, Two, Three",1
One-Eyed Jacks,1
Onegin,1
Ong Bak 2,3
Ong-Bak: The Thai Warrior,8
Onibaba,1
Only Angels Have Wings,3
Only God Forgives,1
Only Lovers Left Alive,3
Only You,14
Only the Strong,1
Open Range,3
Open Season,1
Open Secret,1
Open Water,5
Open Your Eyes,9
Operation Dumbo Drop,10
Operation Petticoat,6
Operation Y and Other Shurik's Adventures,1
Orange County,10
Ordet,1
Ordinary People,31
Orgazmo,4
Original Sin,6
Orlando,9
Orphan,1
Orphans,1
Osama,2
Oscar,2
Oscar and Lucinda,5
"Oslo, August 31st",1
Osmosis Jones,2
Othello,6
Ouija,1
Our Family Wedding,1
Our Hospitality,1
Our Idiot Brother,3
Our Lady of the Assassins,1
Our Little Girl,1
Our Town,1
Out of Africa,30
Out of Sight,29
Out of Time,2
Out of the Furnace,1
Out of the Past,7
Out to Sea,5
Outbreak,110
Outfoxed: Rupert Murdoch's War on Journalism,1
Outland,4
Outlander,3
Outrageous Fortune,5
Outside Ozona,1
Outside Providence,3
Over the Edge,1
Over the Hedge,15
Over the Top,1
Overboard,4
Overnight Delivery,1
Owning Mahowny,3
Oz: The Great and Powerful,4
P.S. I Love You,4
PCU,4
Pacific Heights,13
Pacific Rim,16
Padre Padrone,1
Page One: Inside the New York Times,1
Pain & Gain,3
Paint Your Wagon,5
Paisan,1
Pajama Party,1
Pal Joey,3
Pale Rider,7
Palindromes,2
Palmetto,3
Palookaville,3
Pan,1
Pan's Labyrinth,52
Pandora and the Flying Dutchman,2
Pandora's Box,1
Pandorum,7
Panic,4
Panic Room,30
Panic in the Streets,2
Paparazzi,1
Paper Moon,6
Paper Towns,2
Paperman,8
Papillon,21
Paprika,11
ParaNorman,3
Paradise Lost 2: Revelations,3
Paradise Lost 3: Purgatory,2
Paradise Lost: The Child Murders at Robin Hood Hills,13
Paradise Now,3
Paradise Road,2
Paragraph 175,1
Paranoid Park,2
Paranormal Activity,7
Paranormal Activity 2,1
Paranormal Activity 3,3
Paranormal Activity: The Marked Ones,1
Parasite,1
Parental Guidance,1
Parenthood,23
Parineeta,1
Paris is Burning,9
"Paris, France",1
"Paris, Texas",12
"Paris, je t'aime",4
Particle Fever,1
Partisan,1
Partly Cloudy,2
Parts: The Clonus Horror,1
Party Girl,3
Passenger 57,2
Passengers,1
Passion Fish,11
Passion of Mind,2
Pat Garrett & Billy the Kid,1
Pat and Mike,1
Patch Adams,28
Pather Panchali,4
Pathfinder,1
Pathology,1
Paths of Glory,15
Patlabor: The Movie,1
"Patrik, Age 1.5",1
Patriot Games,48
Patton,40
Paul,8
Paul Blart: Mall Cop,2
Paul Blart: Mall Cop 2,2
Paul Williams Still Alive,1
Paulie,2
Pauline & Paulette,1
Pauly Shore Is Dead,1
Pawn,1
Pawn Sacrifice,1
Pay It Forward,23
Payback,32
Paycheck,10
Pearl Harbor,42
Pecker,14
Pee-wee's Big Adventure,29
Peeping Tom,5
Peggy Sue Got Married,22
Pek Yakında,1
Pelle the Conqueror,3
Penelope,6
Penguins of Madagascar,1
Penn & Teller Get Killed,1
Pennies from Heaven,1
Penny Serenade,3
People Like Us,1
People Will Talk,1
"People, Places, Things",1
Percy Jackson & the Olympians: The Lightning Thief,3
Percy Jackson: Sea of Monsters,1
Perfect,1
Perfect Blue,6
Perfect Sense,1
Perfect Stranger,1
Performance,3
Perfume: The Story of a Murderer,9
Permanent Midnight,4
Permanent Vacation,1
Persepolis,9
Persona,9
Personal Best,3
Personal Velocity,2
Persuasion,19
Pet Sematary,18
Pet Sematary II,4
Pete Seeger: The Power of Song,1
Pete's Dragon,18
Peter & the Wolf,1
Peter Pan,45
Peter's Friends,4
Peyton Place,2
Phantasm,9
Phantasm II,1
Phantasm III: Lord of the Dead,1
Phantasm IV: Oblivion,1
Phantom of the Opera,6
Phantom of the Paradise,1
Phantoms,2
Phat Beach,1
Phenomena,1
Phenomenon,72
Phil Spector,2
Philadelphia,86
Philomena,6
Phoenix,1
Phone Booth,28
Phone Call from a Stranger,1
Pi,40
Pickpocket,2
Picnic,4
Picnic at Hanging Rock,7
Picture Bride,1
Picture Perfect,7
Pie in the Sky,1
Pieces,1
Pieces of April,10
Pierrot le Fou,2
Pieta,1
Pillow Talk,3
Pineapple Express,22
Pink Flamingos,8
Pink Floyd: The Wall,24
Pinocchio,66
Piper,1
Piranha,3
Piranha 3D,2
Piranha 3DD,2
Piranha Part Two: The Spawning,1
Pirates of Silicon Valley,5
Pirates of the Caribbean: At World's End,33
Pirates of the Caribbean: Dead Man's Chest,59
Pirates of the Caribbean: On Stranger Tides,10
Pirates of the Caribbean: The Curse of the Black Pearl,141
Pitch Black,26
Pitch Perfect,7
Pitch Perfect 2,6
Pixels,2
Pixote,3
Piñero,2
Places in the Heart,9
Plan 9 from Outer Space,9
Plan B,1
Planes,1
"Planes, Trains and Automobiles",36
Planes: Fire & Rescue,2
Planet 51,2
Planet Terror,14
Planet of the Apes,101
Plastic,1
Platoon,68
"Play It Again, Sam",8
Play It to the Bone,1
Play Misty for Me,6
PlayTime,2
Playing God,6
Playing It Cool,1
Playing by Heart,5
Pleasantville,64
Please Don't Eat the Daisies,2
Please Give,2
Plenty,1
Plunkett & MacLeane,1
Pocahontas,61
Pocketful of Miracles,1
Poetic Justice,5
Poetry,1
Point Blank,2
Point Break,17
Point of No Return,2
Poison,5
Poison Ivy,7
Poison Ivy II: Lily,6
Poison Ivy: The New Seduction,3
Pokémon 4Ever: Celebi - Voice of the Forest,2
Pokémon: Spell of the Unknown,2
Pokémon: The First Movie: Mewtwo Strikes Back,7
Pokémon: The Movie 2000,4
Police Academy,22
Police Academy 2: Their First Assignment,19
Police Academy 3: Back in Training,15
Police Academy 4: Citizens on Patrol,14
Police Academy 5: Assignment Miami Beach,13
Police Academy 6: City Under Siege,12
Police Academy: Mission to Moscow,6
Police Story,2
Police Story 3: Supercop,12
Polish Wedding,1
Pollock,11
Pollyanna,10
Poltergeist,40
Poltergeist II: The Other Side,8
Poltergeist III,4
Polyester,4
Pom Poko,1
Ponette,2
Pontypool,2
Ponyo,14
Poor Little Rich Girl,1
Popeye,25
Popstar: Never Stop Never Stopping,1
Porco Rosso,12
Pork Chop Hill,3
Porky's,12
Porky's 3: Revenge,5
Porky's II: The Next Day,5
Porn Star: The Legend of Ron Jeremy,1
Poseidon,1
Possessed,1
Possession,4
Post Grad,1
Postcards from the Edge,4
Poultrygeist: Night of the Chicken Dead,1
Powaqqatsi,1
Powder,34
Practical Magic,14
Prancer,1
Prayers for Bobby,1
Precious,6
Predator,53
Predator 2,19
Predators,6
Predestination,5
Prefontaine,2
Prelude to a Kiss,3
Premature,1
Premium Rush,2
Premonition,2
Presto,3
Presumed Innocent,4
Pretty Baby,4
Pretty Woman,147
Pretty in Pink,42
Priceless,3
Prick Up Your Ears,4
Pride,3
Pride & Prejudice,20
Pride and Glory,1
Pride and Prejudice,3
Pride and Prejudice and Zombies,1
Priest,20
Primal Fear,50
Primary Colors,15
Prime Cut,1
Primer,12
Prince Valiant,1
Prince of Darkness,2
Prince of Persia: The Sands of Time,4
Prince of the City,8
Princess Caraboo,3
Princess Mononoke,38
Prison Break: The Final Break,1
Prisoner of the Mountains,1
Prisoners,10
Private Benjamin,23
Private Parts,23
Private School,2
Prizzi's Honor,15
Problem Child,4
Problem Child 2,2
Project A,1
Project Almanac,1
Project Nim,1
Project S,1
Project X,3
Prom,1
Prom Night,6
Prom Night III: The Last Kiss,1
Prom Night IV: Deliver Us from Evil,1
Prometheus,16
Promised Land,1
Promises,1
Proof,7
Proof of Life,14
Prospero's Books,1
Prêt-à-Porter,12
Psycho,90
Psycho II,4
Psycho III,3
Public Access,1
Public Enemies,7
Puccini for Beginners,1
Pulp Fiction,324
Pulse,1
Pump up the Volume,17
Pumping Iron II: The Women,1
Pumpkinhead,2
Punch-Drunk Love,24
Punchline,4
Punk's Dead: SLC Punk 2,1
Puppet Master,2
Puppet Master 4,1
Puppet Master 5: The Final Chapter,1
Puppet Master II,1
Puppet Master III Toulon's Revenge,1
Purple Noon,2
Purple Rain,1
Pursuit of Happiness,3
Push,4
Pusher,1
Pushing Tin,20
Pygmalion,1
Pépé le Moko,1
Q & A,2
Quadrophenia,2
Quai des Orfèvres,1
Quantum of Solace,17
Quarantine,3
Quartet,1
Quatermass II,1
Quatermass and the Pit,2
Queen Christina,1
Queen Margot,7
Queen of the Damned,6
Queens Logic,1
Querelle,1
Quest for Camelot,4
Quest for Fire,4
Quick Change,3
Quigley Down Under,1
Quills,16
Quiz Show,90
R.I.P.D.,3
RED,18
RED 2,5
RV,3
Rabbit-Proof Fence,10
Rabid,1
Race to Witch Mountain,1
Rachel Getting Married,4
"Rachel, Rachel",1
Radio,3
Radio Days,22
Radioland Murders,6
Raggedy Man,1
Raging Bull,50
Ragtime,3
Raiders of the Lost Ark,220
Raiders of the Lost Ark - The Adaptation,4
Railroaded!,1
Rain,1
Rain Man,119
Raise Your Voice,2
Raise the Red Lantern,19
Raising Arizona,70
Raising Cain,1
Raising Helen,1
Raising Victor Vargas,2
Rambling Rose,2
Rambo,6
Rambo III,13
Rambo: First Blood Part II,14
Ran,26
Random Harvest,1
Random Hearts,9
Rango,7
Ransom,76
Rare Birds,1
Rare Exports: A Christmas Tale,1
Rashomon,16
Rat Race,8
Ratatouille,59
Ratcatcher,1
Ravenous,5
Raw Deal,1
Rawhead Rex,1
Ray,21
Raze,1
Re-Animator,14
Read My Lips,1
Ready to Rumble,4
Real Genius,20
Real Life,1
Real Steel,3
Real Women Have Curves,1
Reality,1
Reality Bites,34
Rear Window,92
Rebecca,23
Rebecca of Sunnybrook Farm,1
Rebel Without a Cause,40
Rebound,1
Reckless,2
Recount,2
Red Army,1
Red Beard,2
Red Cliff,1
Red Cliff Part II,1
Red Corner,5
Red Dawn,14
Red Dragon,27
Red Dust,1
Red Eye,7
"Red Firecracker, Green Firecracker",3
Red Heat,2
Red Planet,12
Red Riding Hood,2
Red River,2
Red Rock West,18
Red Sonja,6
Red Sorghum,2
Red State,3
Red Tails,1
Redemption: The Stan Tookie Williams Story,1
Redline,2
Reds,14
Reefer Madness,1
Reflections in a Golden Eye,1
Reform School Girls,1
Regarding Henry,4
Regret to Inform,2
Reign Over Me,1
Reign of Fire,16
Reindeer Games,11
Relax... It's Just Sex,4
Religulous,5
Remember Me,2
Remember the Titans,39
Remo Williams: The Adventure Begins...,3
Renaissance,1
Renaissance Man,13
Reno 911!: Miami,1
Rent,5
Replicant,1
Repo Man,32
Repo Men,3
Repossessed,1
Reprise,1
Repulsion,5
Requiem For The Big East,1
Requiem for a Dream,69
Requiem for a Heavyweight,2
Rescue Dawn,6
Reservoir Dogs,132
Resident Evil,22
Resident Evil: Afterlife,4
Resident Evil: Apocalypse,14
Resident Evil: Extinction,8
Resident Evil: Retribution,1
Restoration,12
Restrepo,3
Retroactive,1
Return from Witch Mountain,3
Return of the Fly,1
Return of the Jedi,217
Return of the Killer Tomatoes!,1
Return of the Living Dead Part II,2
Return of the Secaucus Seven,2
Return to Me,19
Return to Never Land,1
Return to Oz,9
Return to Paradise,8
Return to Sender,1
Return to Snowy River,2
Return to the Blue Lagoon,3
Return with Honor,2
Revenge for Jolly!,1
Revenge of the Green Dragons,1
Revenge of the Nerds,14
Revenge of the Nerds II: Nerds in Paradise,1
Revenge of the Pink Panther,3
Revengers Tragedy,1
Reversal of Fortune,7
Revolution OS,1
Revolutionary Road,6
Revolver,2
Rich and Strange,1
Richard III,23
Richard Pryor: Here and Now,1
